Malignant,Stroma,Immune,Sample_ID,Sample,condition
2.488013691534371,58.63449321846368,38.877493090001956,GSM5016058,GSM5016058,risk category: High
8.71815286624204,53.69591042361742,37.58593671014054,GSM5016059,GSM5016059,risk category: High
1.2568416068633372,67.70019539876542,31.042962994371248,GSM5016060,GSM5016060,risk category: Average
11.712163789642716,45.97383915428876,42.31399705606852,GSM5016061,GSM5016061,risk category: High
2.4557476930182167,71.50710967822155,26.037142628760236,GSM5016062,GSM5016062,risk category: High
5.143953809660348,52.30560696504444,42.55043922529521,GSM5016063,GSM5016063,risk category: Average
4.166282465037651,62.09966190256645,33.73405563239588,GSM5016064,GSM5016064,risk category: High
7.735176208444626,57.742949071260654,34.52187472029472,GSM5016065,GSM5016065,risk category: Average
1.5557716349492983,67.77460411168217,30.66962425336853,GSM5016066,GSM5016066,risk category: Average
6.606747463320758,67.03317169403957,26.360080842639665,GSM5016067,GSM5016067,risk category: Average
7.802843876312536,61.706771187101225,30.49038493658624,GSM5016068,GSM5016068,risk category: Average
1.6043863038398558,63.693400305422166,34.70221339073798,GSM5016069,GSM5016069,risk category: Average
3.0734472712427388,67.08558332869416,29.840969400063095,GSM5016070,GSM5016070,risk category: High
2.2178459633311545,70.17431460906059,27.607839427608265,GSM5016071,GSM5016071,risk category: Average
5.064112502655801,60.098652288009546,34.83723520933465,GSM5016072,GSM5016072,risk category: Average
9.182719073599822,49.43658835319007,41.38069257321011,GSM5016073,GSM5016073,risk category: High
0.9617132814157145,69.97818247931882,29.06010423926549,GSM5016074,GSM5016074,risk category: High
3.4524537805779105,67.4426180015413,29.104928217880783,GSM5016075,GSM5016075,risk category: High
3.4573196887064137,67.5552015033601,28.987478807933492,GSM5016076,GSM5016076,risk category: Average
4.190388923963996,56.87139975751616,38.93821131851985,GSM5016077,GSM5016077,risk category: Average
1.2692555351924315,68.18482011656512,30.545924348242444,GSM5016078,GSM5016078,risk category: Average
4.218977909195468,68.58108554733461,27.19993654346993,GSM5016079,GSM5016079,risk category: High
2.1340763677214905,70.84771150508755,27.018212127190957,GSM5016080,GSM5016080,risk category: Average
5.178468215972169,52.688201358823086,42.13333042520475,GSM5016081,GSM5016081,risk category: Average
3.5286863177641523,63.548922200413394,32.92239148182245,GSM5016082,GSM5016082,risk category: Average
4.999341442490131,56.897232990527435,38.10342556698242,GSM5016083,GSM5016083,risk category: Average
5.085810177797454,62.49832703612572,32.41586278607683,GSM5016084,GSM5016084,risk category: Average
3.4404863028243797,66.78673816096835,29.772775536207263,GSM5016085,GSM5016085,risk category: High
2.833056108777234,64.01835678958182,33.14858710164095,GSM5016086,GSM5016086,risk category: Average
4.918783618256376,61.45603664057091,33.62517974117271,GSM5016087,GSM5016087,risk category: High
18.92532683359184,22.68335918457788,58.39131398183027,GSM5016088,GSM5016088,risk category: Average
4.4649246827599445,66.50782845473111,29.027246862508953,GSM5016089,GSM5016089,risk category: Average
3.4221392003703675,70.10513509294199,26.472725706687633,GSM5016090,GSM5016090,risk category: Average
2.932513691479494,73.93923840963039,23.128247898890105,GSM5016091,GSM5016091,risk category: Average
4.030963936045113,60.69574651931835,35.27328954463654,GSM5016092,GSM5016092,risk category: High
2.7849463203935723,63.808562228580776,33.406491451025644,GSM5016093,GSM5016093,risk category: Average
1.634416895401856,66.98897534196855,31.376607762629593,GSM5016094,GSM5016094,risk category: Average
1.3458959826935792,70.6691934993653,27.98491051794111,GSM5016095,GSM5016095,risk category: High
5.808596695687941,64.40392129978748,29.787482004524584,GSM5016096,GSM5016096,risk category: Average
1.0007457787013254,60.680570871286236,38.318683350012435,GSM5016097,GSM5016097,risk category: Average
1.832380056935412,69.71245005092845,28.455169892136123,GSM5016098,GSM5016098,risk category: Average
1.6271483305966061,62.4048166392994,35.968035030104,GSM5016099,GSM5016099,risk category: Average
3.3885692846423234,68.40482741370685,28.206603301650834,GSM5016100,GSM5016100,risk category: High
1.4973749190899721,70.6983434420924,27.804281638817642,GSM5016101,GSM5016101,risk category: Average
2.200809977335496,66.12430798954708,31.67488203311743,GSM5016102,GSM5016102,risk category: Average
3.9258011839150835,68.97172892427025,27.102469891814668,GSM5016103,GSM5016103,risk category: Average
10.082566394951353,46.74204575335261,43.17538785169604,GSM5016104,GSM5016104,risk category: High
3.81689268836988,69.07274552532992,27.110361786300185,GSM5016105,GSM5016105,risk category: High
11.38799722175292,34.921439432336534,53.69056334591055,GSM5016106,GSM5016106,risk category: Average
8.056749864201736,59.9270832374306,32.01616689836766,GSM5016107,GSM5016107,risk category: High
2.7352933825428427,59.937682765285636,37.32702385217153,GSM5016108,GSM5016108,risk category: Average
0.961005131660579,72.29725010374253,26.741744764596888,GSM5016109,GSM5016109,risk category: Average
8.65441236422275,61.34459110551443,30.000996530262817,GSM5016110,GSM5016110,risk category: High
1.6963132824612097,69.10446923272917,29.199217484809626,GSM5016111,GSM5016111,risk category: Average
