Unnamed: 0,BTN1A1,OLAH,LILRB5,CSF1R,CEL,CELP,LALBA,CSN2,LINC02532,LPO,MED15P9,YIF1B,LOC112268261,SMIM33,LOC105375790,IL16,LOC107985488,LOC105378863,LOC105371982,LOC105370705,DDX55,KLRF2,SLC2A10,SIGLEC14,BCDIN3D,SNRPN,CDRT15P3,GLS,HSF2,OR52E5,LOC105377350,LOC105375248,LOC105375924,TTTY7,TTC41P,LINC02914,GIPC3,PTPN22,CPS1,FYTTD1,ASPG,MIR6729,NPY5R,LINCADL,HNRNPUL1,P2RY10,LOC102724851,LRBA,RGS3,TWIST2,EDNRB-AS1,PYY,SYT15B,C2orf15,KPNA3,CST6,TLE1,MIR4426,IL12RB2,ZNF554,SV2B,LOC105369961,TMEM100,PTPN21,SOHLH2,ANO6,LOC107986384,TRQ-TTG4-1,TAT,LOC105371606,LOC105378231,REELD1,ALOX12B,LOC107987361,MED16,SLC41A3-AS1,LOC105371860,LRRFIP2,LOC105376246,MC5R,MIR521-1,LOC105376364,LOC100996664,PRRC2C,LRCOL1,LOC105378816,NCR3,CTSV,LOC107985188,LOC105369682,ZNHIT1,RAB19,LOC107986837,MIR888,MIR3907,LOC107984023,CD81-AS1,ANO9,LOC105369448,NHLRC1,LHCGR,LOC105377073,ZSCAN12,MIR545,TMCC2,FAM87A,CYP4F11,KCND1,LOC105375251,LOC112268209
GSM5016156,19,12,485,1245,65,19,94,9,17,9,5,354,7,1,1,628,0,2,1,0,865,0,982,75,217,673,7,2708,517,0,0,0,2,0,32,0,150,104,324,2190,52,0,228,427,4954,38,402,2299,928,252,5,6,212,134,1262,13,1163,1461,22,295,265,1,269,1370,14,5072,2,0,4685,0,9,25,7,30,431,16,3,1370,0,0,0,0,23,4035,17,2,8,58,7,0,765,25,3,0,0,7,246,295,0,86,25,2,533,0,52,11,157,104,0,0
GSM5016157,18,4,1142,1310,43,10,1,1,2,0,4,175,3,1,1,638,1,5,0,0,869,0,476,65,135,277,8,3653,385,0,0,4,0,0,20,0,162,101,327,1708,12,0,350,343,2941,27,332,1838,1094,201,5,1,374,69,1112,1,1051,670,56,226,234,7,577,1418,12,6468,2,0,2540,0,31,11,3,28,153,20,2,1049,0,2,0,1,19,4396,7,9,5,17,14,0,289,23,5,0,0,4,126,407,0,52,193,2,440,0,41,2,91,118,0,0
GSM5016158,88825,19268,23,211,142134,37265,5324548,4278599,1818,3586,2,116,2,0,0,132,0,1,0,0,413,0,498,12,129,216,3,1662,162,0,0,0,0,0,8,0,11,59,674,1436,6,1,7,1,1111,8,174,729,146,8,0,0,137,51,420,2,776,1025,84,91,17,3,33,274,17,325,1,0,5,0,2,12,0,7,37,9,4,325,0,0,0,0,9,1732,3,0,2,36,16,0,388,7,3,0,0,0,42,64,0,56,1,2,202,0,4,6,21,12,0,0
GSM5016159,9,5,376,783,60,19,60,5,5,2,8,319,5,0,0,438,0,3,0,0,746,0,1086,41,172,397,11,3014,430,0,0,1,0,0,33,0,124,63,400,1816,54,0,138,165,3366,9,635,2262,889,288,12,9,212,97,1154,2,858,601,46,414,100,4,646,1172,5,4100,0,0,37038,0,10,77,3,30,268,14,6,1479,0,1,0,1,26,4212,15,4,1,78,13,0,534,52,4,0,3,6,147,423,0,64,14,1,434,0,32,6,95,109,0,2
GSM5016160,10,9,314,934,26,6,160,15,3,6,5,280,8,2,3,472,0,2,2,0,657,0,699,64,191,500,2,3056,445,0,0,3,3,0,22,0,106,111,428,2692,8,0,227,460,3783,32,208,2423,1009,360,8,2,394,127,1443,12,821,3044,37,217,153,6,255,1278,4,4318,7,0,1942,0,7,6,2,8,197,8,5,1357,0,0,0,1,14,3908,6,3,5,75,4,0,997,35,0,0,1,3,159,171,0,108,90,1,530,0,15,4,62,54,0,0
GSM5016161,4,9,1882,1659,24,9,3,0,0,1,0,202,9,2,4,783,0,8,0,1,568,0,282,1,107,274,4,5149,422,0,0,33,6,0,24,2,371,139,282,2558,57,0,1218,699,3430,17,119,1161,750,713,3,0,398,44,1971,0,1096,437,65,263,276,5,523,2059,6,10332,1,0,1,2,282,66,0,42,161,16,4,1438,0,8,0,0,8,4319,9,6,8,15,24,0,825,0,1,0,0,9,148,37,0,80,1102,13,396,0,26,8,7,102,0,0
GSM5016162,3,6,1758,2201,32,3,2,1,0,1,3,330,12,0,1,1118,0,2,0,1,905,1,478,124,124,321,9,3343,444,0,0,8,5,0,18,0,152,132,256,1977,4,1,351,298,4111,22,292,1487,671,503,8,3,361,75,1178,5,890,1220,56,249,233,5,479,1620,23,5104,3,0,12,0,4,90,4,22,460,11,4,1185,0,3,0,0,10,3710,10,2,18,94,11,0,935,6,2,0,0,6,223,187,0,73,221,4,464,0,47,6,42,92,0,2
GSM5016163,40,11,478,1106,61,15,118,38,6,6,6,331,2,2,2,728,0,5,0,1,1289,2,562,102,180,414,18,4067,403,0,0,3,3,0,31,0,83,221,254,1010,32,1,153,192,2489,85,701,1096,322,151,14,1,323,100,516,3,768,1344,24,472,54,6,232,1034,24,1867,1,0,433,0,4,62,8,21,420,16,7,1051,0,0,0,0,31,4100,51,8,8,43,19,0,504,24,2,0,0,17,107,1027,0,60,80,4,391,1,46,7,80,95,1,1
GSM5016164,6,4,298,431,60,19,1,4,2,2,5,253,5,0,2,702,1,12,0,0,801,0,423,20,119,271,4,2758,340,0,0,3,1,0,29,0,262,91,438,1844,36,1,503,908,3284,7,402,1460,600,294,14,1,278,72,1132,2,1212,502,22,231,273,5,1004,1475,5,6134,2,0,63,0,5,40,1,51,260,9,4,959,0,1,0,0,23,3958,19,16,1,16,13,0,656,11,4,0,0,14,264,223,0,72,87,8,365,0,39,11,18,99,0,1
GSM5016165,80,38,263,973,76,37,1190,352,12,9,5,280,6,0,2,587,0,5,0,0,1250,3,633,55,186,378,9,3771,443,0,0,1,0,0,27,0,70,154,345,1446,73,1,95,221,2951,44,939,1425,428,123,9,0,362,115,783,4,766,1604,25,297,120,11,204,1059,14,2911,10,0,37,0,10,16,4,30,275,18,11,1087,0,0,0,0,31,3881,23,12,6,60,33,0,461,24,7,0,2,9,106,575,0,63,12,3,533,0,41,9,98,120,0,2
GSM5016166,15,6,1661,1952,35,10,3,0,3,2,7,193,5,0,2,619,0,13,0,3,1183,1,1175,81,140,356,10,3746,366,0,1,5,5,0,28,0,68,131,448,1587,7,0,144,198,2803,22,536,1742,494,99,8,3,522,96,906,0,668,844,67,282,177,9,338,995,7,3027,1,0,3401,0,13,51,9,51,160,16,9,1027,0,0,0,0,31,5159,13,11,5,32,21,0,399,33,5,0,0,7,77,341,0,59,139,6,616,0,36,6,145,96,0,0
GSM5016167,7,11,550,1568,23,7,46,10,5,3,5,608,11,0,2,1119,0,0,0,2,702,0,1007,35,164,734,10,2257,584,0,0,1,0,0,18,0,273,112,988,3846,29,0,521,1266,6880,21,88,2880,1583,987,6,3,390,86,2281,2,1716,1789,32,240,762,2,1367,2132,33,14636,6,0,369,0,2,40,2,10,889,7,6,1477,0,0,0,0,18,4883,6,2,3,25,3,0,1724,8,1,0,0,4,932,71,0,146,74,8,552,0,78,12,150,102,0,1
GSM5016168,122,7,1425,909,52,16,998,496,4,3,3,242,10,0,3,561,0,9,0,1,883,3,393,43,90,216,8,3288,349,0,0,9,2,0,31,0,96,87,213,1144,83,0,313,481,2771,22,356,861,487,272,11,2,304,57,753,1,1370,414,44,206,229,9,341,1310,13,5066,4,0,646,0,98,128,5,41,282,14,9,890,0,2,0,0,28,3126,19,5,4,33,21,0,450,6,4,0,2,8,147,390,0,46,386,3,325,1,40,9,12,80,0,0
GSM5016169,13,4,362,632,16,7,62,275,1,2,3,207,7,0,0,584,0,1,0,2,413,1,359,13,122,391,5,2167,414,0,0,2,1,0,28,0,197,115,426,2097,18,0,467,1740,3847,9,46,1199,2220,680,7,2,144,51,1288,4,1090,1394,23,200,482,4,783,1157,8,14634,3,0,144,1,23,19,1,18,125,3,4,850,0,0,0,0,22,3555,3,6,4,23,2,0,721,3,0,0,1,7,235,34,0,102,53,4,395,1,28,4,18,49,0,1
GSM5016170,36,37,196,859,76,21,1474,321,14,12,2,354,5,0,1,369,0,4,0,0,1099,0,906,84,173,405,3,2854,520,0,0,0,1,0,19,0,62,132,237,1546,19,0,32,62,3798,46,421,1968,481,131,2,5,446,136,805,6,831,1426,27,273,99,8,115,982,7,1836,3,0,3923,0,8,37,13,10,507,22,8,1079,0,2,0,1,18,3921,15,9,9,52,6,0,512,26,1,0,0,4,118,554,0,67,27,2,523,0,35,10,191,103,0,0
GSM5016171,9,3,900,1380,33,6,2,1,0,1,2,383,8,2,11,875,0,3,1,1,994,0,736,103,181,479,10,3253,443,0,0,6,2,0,36,0,278,134,503,2525,31,0,269,1080,4085,61,297,1633,1394,276,9,1,280,86,1616,6,1067,1190,41,224,349,5,1104,1656,20,8509,0,0,649,0,9,87,3,27,241,11,10,1237,0,3,0,0,25,4072,31,11,12,54,12,0,932,18,2,0,0,14,306,221,0,95,254,3,477,0,48,8,9,95,0,1
GSM5016172,31,17,113,347,54,17,4,2,3,2,3,137,6,0,2,374,0,11,1,1,2201,1,571,33,163,241,6,6080,480,0,0,1,2,0,34,0,31,252,213,1159,60,0,297,84,1785,12,1193,1580,157,50,24,1,244,138,616,1,549,1286,57,485,32,15,78,1040,35,1381,17,0,469,0,5,124,8,58,173,55,15,910,0,0,0,1,63,6540,2,21,1,44,25,0,231,15,9,0,2,13,28,648,0,56,27,3,636,0,10,16,75,60,0,0
GSM5016173,6,20,439,1886,42,14,10,2,7,4,3,222,5,0,2,528,0,14,0,0,1124,1,907,67,177,408,8,3686,712,0,0,6,16,0,29,0,61,511,217,1743,30,0,137,107,3801,57,537,2069,412,94,9,2,528,120,1020,6,704,876,32,514,90,5,175,1354,5,3393,1,0,28,0,66,58,4,22,240,21,7,2113,0,0,0,0,24,6239,16,6,8,307,32,0,380,36,4,0,0,13,109,695,0,73,71,2,688,0,30,13,158,103,0,0
GSM5016174,10,7,465,1184,62,9,17,0,2,7,13,263,6,0,0,710,0,7,4,2,1211,1,762,56,173,484,9,4027,553,0,0,4,4,0,36,0,86,168,351,1619,49,0,316,262,4194,34,447,1888,578,219,14,3,397,113,1047,6,896,1637,29,534,150,12,420,1659,7,4221,7,0,7806,0,8,128,9,27,372,20,12,1677,0,0,0,0,39,5506,19,7,4,194,23,0,621,33,6,0,2,14,168,486,0,100,183,1,555,0,35,16,233,77,0,0
GSM5016175,16,9,161,736,58,15,10,0,4,38,4,151,5,0,0,640,0,1,1,0,507,1,299,37,133,733,2,2592,422,0,0,1,4,0,22,0,59,157,110,2143,18,0,148,130,2696,136,158,2005,336,90,4,3,216,95,1087,5,756,1203,17,284,71,4,215,925,21,3035,0,0,3389,0,32,27,57,20,122,7,3,1194,0,0,0,0,17,3723,4,6,5,137,8,0,383,40,2,0,0,2,53,191,0,82,74,6,729,0,21,6,63,33,0,2
GSM5016176,9,8,588,1692,65,17,0,0,4,3,13,402,5,0,0,677,1,4,0,1,1370,2,1179,66,212,645,22,3459,613,0,0,2,5,0,34,0,124,167,230,2077,43,0,165,197,4002,61,647,1915,541,192,11,4,338,155,1207,18,890,1998,22,501,133,2,320,1276,7,2879,7,0,4149,0,40,32,11,14,526,19,3,1929,0,0,0,0,30,3927,10,4,5,135,15,0,743,41,8,0,0,10,153,824,0,103,106,2,543,0,68,6,569,126,0,0
GSM5016177,39,15,844,1562,110,26,24,9,11,7,13,385,3,0,4,654,0,7,1,2,2586,1,860,60,193,406,20,6154,655,0,0,7,4,0,33,0,79,254,372,1376,55,1,94,134,3525,42,854,1542,490,89,27,7,567,148,767,8,797,951,39,554,76,16,189,1807,25,2401,9,0,600,0,13,67,9,27,616,47,17,1237,0,0,0,0,43,6828,34,28,2,90,30,1,562,24,11,0,3,17,101,1580,0,60,76,3,690,0,42,38,217,154,0,1
GSM5016178,20,16,84,575,14,5,19,1,6,3,8,111,6,0,0,493,0,10,1,0,1460,0,564,20,166,290,4,4801,782,0,0,3,8,0,43,0,32,271,238,1597,8,0,21,5,2956,77,1239,1724,160,52,12,4,407,62,785,4,433,2107,28,478,98,16,99,1140,21,1888,17,0,124,0,6,65,3,26,72,46,16,1243,0,0,0,0,44,6619,3,21,8,97,38,0,253,22,6,0,1,10,20,414,0,63,4,1,727,0,8,10,137,73,0,0
GSM5016179,36,7,183,688,28,6,68,14,1,2,10,284,7,0,0,447,0,5,0,0,706,1,856,20,260,639,18,3812,681,0,0,0,3,0,18,0,64,114,240,2471,13,0,132,316,3605,60,393,2135,405,231,7,4,186,169,1263,9,1000,4096,34,363,121,0,260,1002,51,3208,0,0,3765,0,8,24,8,21,247,8,4,1572,2,0,0,0,38,4473,3,6,8,52,1,0,856,23,2,0,0,12,84,343,0,98,59,4,542,0,43,2,62,85,0,0
GSM5016180,13,5,775,1886,61,23,5,6,0,4,29,346,10,1,2,1037,0,15,0,1,1871,0,826,95,230,607,8,4470,771,0,0,4,6,0,49,0,129,316,522,2757,106,0,200,927,6043,81,700,2491,1190,280,12,4,327,135,1405,3,1159,3202,38,518,567,11,664,1693,25,9816,4,0,2253,0,4,80,10,35,409,25,10,1666,0,0,0,0,49,7375,17,12,3,115,22,0,881,31,2,0,0,14,237,590,0,104,98,4,767,0,39,31,174,142,0,0
GSM5016181,19,8,212,384,14,3,8,0,0,0,6,443,5,0,0,830,0,0,0,3,564,0,553,9,143,452,6,2479,495,0,0,1,0,0,13,0,223,63,371,2129,63,0,307,1000,4317,23,103,1399,3194,969,2,8,167,74,1128,6,1284,2082,16,291,200,1,1288,1015,5,8864,6,0,11,0,8,23,3,20,437,10,1,872,1,14,0,0,32,4103,5,5,4,39,3,0,740,1,2,0,4,3,259,244,0,108,127,8,421,0,46,7,4,71,0,0
GSM5016182,6,8,905,1042,33,10,8,3,4,0,3,205,8,0,1,953,0,2,0,1,652,0,520,72,110,324,2,2727,372,0,0,0,4,0,34,0,219,91,288,1980,36,0,295,794,4018,36,244,1145,712,455,3,3,422,60,1358,6,1053,936,49,219,361,9,708,1361,7,8945,1,0,308,0,10,37,4,41,245,11,9,1040,0,0,0,0,18,3970,4,3,4,40,12,0,495,9,2,0,0,19,249,111,0,71,66,1,395,0,38,7,21,109,0,0
GSM5016183,10,4,773,593,37,9,0,0,1,0,1,138,6,0,0,856,0,3,1,0,823,0,267,25,74,262,1,2951,433,0,0,1,0,0,30,0,283,54,416,2213,79,1,324,1385,4182,5,159,1073,1218,385,7,0,233,33,1267,0,1403,626,26,217,869,7,1371,1356,6,13908,2,0,1,0,4,95,3,90,144,7,3,998,0,0,0,0,40,4103,10,8,9,3,11,0,424,0,7,0,0,13,178,27,0,56,492,3,491,0,32,5,0,123,0,1
